Estado,Cidade,CNPJ,Sigla,Razão Social,"Resultado
2ª FASE","Linha
Solicitada",Valor,Classificação,DATA INÍCIO,DATA FIM,Processo SEI
São Paulo,SÃO PAULO,61796835000194,IBAPE,INSTITUTO BRASILEIRO DE AVALIAÇÕES E PERÍCIAS DE ENGENHARIA,Classificada,1,"R$ 100.000,00",1,2/4/2024,6/17/2024,00.007573/2024-40
São Paulo,PAULÍNIA,58999053000148,AEAP,ASSOCIAÇÃO DE ENGENHEIROS E AGRÔNOMOS DE PAULÍNIA,Classificada,1,"R$ 100.000,00",2,-,-,00.007496/2024-28
Sergipe,ARACAJU,13033030000146,AEASE,ASSOCIAÇÃO DOS ENGENHEIROS AGRONÔMOS DE SERGIPE,Classificada,1,"R$ 80.000,00",3,3/20/2025,6/30/2025,00.007476/2024-57
Paraná,MARINGÁ,76246024000197,AEAM,ASSOCIAÇÃO DE ENGENHEIROS E ARQUITETOS DE MARINGÁ,Classificada,1,"R$ 100.000,00",4,2/10/2025,6/30/2025,00.007433/2024-71
Santa Catarina,BLUMENAU,82666199000156,AEAMVI,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DO MÉDIO VALE DO ITAJAÍ,Classificada,1,"R$ 100.000,00",5,5/22/2025,5/24/2025,00.007474/2024-68
São Paulo,SÃO PAULO,65714784000165,IBAPE/SP,INSTITUTO BRASILEIRO DE AVALIAÇÕES E PERÍCIAS DE ENGENHARIA,Classificada,1,"R$ 88.568,86",6,9/30/2024,6/30/2025,00.007574/2024-94
São Paulo,INDAIATUBA,51282325000145,AEAI,ASSOCIAÇÃO DOS ENGENHEIROS ARQUITETOS E AGRÔNOMOS DE INDAIATUBA,Classificada,1,"R$ 100.000,00",7,2/20/2025,6/30/2025,00.007506/2024-25
Santa Catarina,BALNEÁRIO CAMBORIÚ,83825083000185,AREAITAJAI,AREA ITAJAÍ,Classificada,1,"R$ 100.000,00",8,2/10/2025,6/30/2025,00.007465/2024-77
Santa Catarina,CRICIÚMA,75564450000106,ASCEA,ASSOCIAÇÃO SUL CATARINENSE DE ENGENHEIROS E ARQUITETOS,Classificada,1,"R$ 100.000,00",9,2/10/2025,6/30/2025,00.007468/2024-19
Rondônia,PORTO VELHO,04418497000113,AREF,ASSOCIAÇÃO RONDONIENSE DE ENGENHEIROS FLORESTAIS,Classificada,1,"R$ 60.000,00",10,3/1/2025,6/30/2025,00.007454/2024-97
São Paulo,BIRIGUI,51107548000176,ASSENAB,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE BIRIGUI,Classificada,1,"R$ 100.000,00",11,3/5/2025,4/25/2025,00.007522/2024-18
Santa Catarina,FLORIANÓPOLIS,79886032000196,ACEST,ASSOCIAÇÃO CATARINENSE DE ENGENHARIA DE SEGURANÇA DO TRABALHO,Classificada,1,"R$ 100.000,00",12,2/20/2025,6/30/2025,00.007472/2024-79
São Paulo,PIRACICABA,54407911000167,AEAP,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE PIRACICABA,Classificada,1,"R$ 100.000,00",13,-,-,00.007537/2024-86
Paraná,GUARAPUAVA,18241317000185,APROGEO,ASSOCIAÇÃO PROFISSIONAL DOS GEÓGRAFOS DO ESTADO DO PARANÁ,Classificada,1,"R$ 100.000,00",14,4/2/2025,4/2/2025,00.007446/2024-41
São Paulo,MOGI MIRIM,61712147000107,ASEAAMMIRIM,"ASSOCIAÇÃO DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE MOGI MIRIM",Classificada,1,"R$ 100.000,00",15,4/7/2025,4/9/2025,00.007491/2024-03
Paraná,PATO BRANCO,00072081000135,AEAPB,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE PATO BRANCO,Classificada,1,"R$ 100.000,00",16,2/20/2025,6/30/2025,00.007437/2024-50
São Paulo,,65704629000168,AETEC,"ASSOCIAÇÃO DOS ARQUITETOS, ENGENHEIROS E TÉCNICOS DE COTIA",Classificada,1,"R$ 100.000,00",17,2/20/2025,6/30/2025,00.007504/2024-36
Santa Catarina,FLORIANÓPOLIS,08038132000114,ABEE,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS ELETRICISTAS,Classificada,1,"R$ 100.000,00",18,4/22/2025,4/24/2025,00.007470/2024-80
São Paulo,CAJAMAR,15539734000110,AEAC,ASSOCIAÇÃO DE ENGENHEIROS E AGRÔNOMOS DE CAJAMAR,Classificada,1,"R$ 100.000,00",19,2/20/2025,6/30/2025,00.007495/2024-83
São Paulo,CAPAO BONITO,24355377000121,AENGCB,ASSOCIAÇÃO DOS ENGENHEIROS DE CAPÃO BONITO,Classificada,1,"R$ 99.000,00",20,2/3/2025,6/30/2025,00.007509/2024-69
Distrito Federal,BRASÍLIA,61755260000161,CONFAEAB,CONFEDERAÇÃO DOS ENGENHEIROS AGRÔNOMOS DO BRASIL,Classificada,1,"R$ 100.000,00",21,4/9/2025,4/9/2025,00.007386/2024-66
Rio Grande do Sul,SÃO LEOPOLDO,89815872000111,AEAVS,ASSOCIACÃO DOS ENGENHEIROS E ARQUITETOS DO VALE DO SINOS,Classificada,1,"R$ 100.000,00",22,-,-,00.007460/2024-44
Paraná,MARINGÁ,00460081000102,AGB,ASSOCIAÇÃO DOS GEÓGRAFOS BRASILEIROS - REGIONAL MARINGÁ,Classificada,1,"R$ 100.000,00",23,2/11/2025,2/11/2026,00.007443/2024-15
São Paulo,SANTOS,58250903000100,AEAS,ASSOCIAÇÃO DE ENGENHEIROS E ARQUITETOS DE SANTOS,Classificada,1,"R$ 100.000,00",24,2/20/2025,6/30/2025,00.007500/2024-58
São Paulo,RIBEIRÃO PRETO,46940797000108,AEAARP,"ASSOCIAÇÃO DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE RIBEIRÃO PRETO",Classificada,1,"R$ 100.000,00",25,3/13/2025,3/15/2025,00.007492/2024-40
São Paulo,JABOTICABAL,48009054000144,AREAJABOTICABAL,"ASSOCIAÇÃO REGIONAL DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE JABOTICABAL-AREA",Classificada,1,"R$ 100.000,00",26,2/10/2025,6/30/2025,00.007569/2024-81
Espírito Santo,VITÓRIA,27358381000131,SEEA,SOCIEDADE ESPIRITO SANTENSE DE ENGENHEIROS AGRÔNOMOS,Classificada,1,"R$ 70.000,00",27,5/19/2025,5/21/2025,00.007410/2024-67
São Paulo,BRAGANÇA PAULISTA,48647382000176,AEAARB,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DA REGIÃO BRAGANTINA",Classificada,1,"R$ 100.000,00",28,2/20/2025,6/30/2025,00.007543/2024-33
Minas Gerais,BELO HORIZONTE,19732536000120,AEAEEUFMG,ASSOCIAÇÃO DOS EX-ALUNOS DA ESCOLA DE ENGENHARIA DA UFMG,Classificada,1,"R$ 100.000,00",29,2/20/2025,6/30/2025,00.007419/2024-78
São Paulo,OSASCO,48896997000136,AEAOSASCO,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE OSASCO,Classificada,1,"R$ 100.000,00",30,2/20/2025,6/30/2025,00.007534/2024-42
São Paulo,ATIBAIA,52346152000144,AEAAAR,ASSOCIAÇÃO DOS ENGENHEIROS ARQUITETOS E AGRÔNOMOS DE ATIBAIA E REGIÃO,Classificada,1,"R$ 100.000,00",31,2/11/2025,6/30/2025,00.007507/2024-70
Minas Gerais,PARÁ DE MINAS,18519751000184,AEAPAM,ASSOCIAÇÃO DE ENGENHEIROS E ARQUITETOS DE PARÁ DE MINAS,Classificada,1,"R$ 100.000,00",32,-,-,00.007418/2024-23
Paraná,SANTO ANTÔNIO DA PLATINA,81394017000172,APLA,ASSOCIAÇÃO PLATINENSE  DE ENGENHARIA ARQUITETURA E AGRONOMIA,Classificada,1,"R$ 100.000,00",33,2/10/2025,6/30/2025,00.007445/2024-04
São Paulo,SÃO JOAQUIM DA BARRA,68323054000121,AEAASJB,"ASSOCIAÇÃO DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE SÃO JOAQUIM DA BARRA",Classificada,1,"R$ 100.000,00",34,2/11/2025,6/30/2025,00.007493/2024-94
Paraná,CASCAVEL,72325673000122,AREAC,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS AGRÔNOMOS DE CASCAVEL,Classificada,1,"R$ 100.000,00",35,2/10/2025,6/30/2025,00.007447/2024-95
Paraná,PONTA GROSSA,73464810000172,AEACG,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DOS CAMPOS GERAIS,Classificada,1,"R$ 100.000,00",36,2/11/2025,6/30/2025,00.007442/2024-62
São Paulo,PEREIRA BARRETO,59754515000120,AEAPB,ASSOCIAÇÃO DOS ENGENHEIROS E AGRONOMOS DE PEREIRA BARRETO E REGIÃO,Classificada,1,"R$ 100.000,00",37,2/10/2025,6/30/2025,00.007514/2024-71
Paraná,FRANCISCO BELTRÃO,00088563000183,AEAFB,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA REGIÃO DE FRANCISCO BELTRÃO,Classificada,1,"R$ 100.000,00",38,2/10/2025,6/30/2025,00.007434/2024-16
Paraná,CURITIBA,00110266000197,AEAPRCuritiba,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DO PARANÁ - CURITIBA,Classificada,1,"R$ 100.000,00",39,2/10/2025,6/30/2025,00.007441/2024-18
Paraná,MARINGÁ,00129434000196,AMEA,ASSOCIAÇÃO MARINGAENSE DOS ENGENHEIROS AGRÔNOMOS,Classificada,1,"R$ 100.000,00",40,2/10/2025,6/30/2025,00.007444/2024-51
Paraná,CORNÉLIO PROCÓPIO,00671720000189,AEACP,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE CORNÉLIO PROCÓPIO,Classificada,1,"R$ 100.000,00",41,2/10/2025,6/30/2025,00.007436/2024-13
Paraná,TOLEDO,02430720000112,AEAToledo,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE TOLEDO,Classificada,1,"R$ 100.000,00",42,2/10/2025,6/30/2025,00.007438/2024-02
Paraná,GUARAPUAVA,02640783000101,AEAGRO,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA REGIÃO DE GUARAPUAVA,Classificada,1,"R$ 100.000,00",43,2/20/2025,6/30/2025,00.007435/2024-61
São Paulo,ITAPEVI,04057497000135,AEAT,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS, AGRONÔMOS E TÉCNICOS DE ITAPEVI",Classificada,1,"R$ 99.930,00",44,2/9/2025,6/30/2025,00.007562/2024-60
São Paulo,SANTO ANDRÉ,44192060000129,AEAABC,ASSOCIAÇÃO DOS ENGENHEROS E AGRÔNOMOS DO ABC,Classificada,1,"R$ 100.000,00",45,2/20/2025,6/30/2025,00.007563/2024-12
São Paulo,SÃO JOSÉ DO RIO PRETO,45103496000167,SOCIEDADEDOSENGENHEIROS,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRONÔMOS DE SÃO JOSÉ DO RIO PRETO",Classificada,1,"R$ 100.000,00",46,2/20/2025,6/30/2025,00.007556/2024-11
Minas Gerais,ARAXÁ,26814833000180,ASSEND,ASSOCIAÇÃO ARAXAENSE DE ENGENHARIA E DESENVOLVIMENTO,Classificada,1,"R$ 100.000,00",47,2/10/2025,6/30/2025,00.007413/2024-09
Mato Grosso do Sul,CAMPO GRANDE,03970688000120,AEA,ASSOCIAÇÃO DOS ENGENHEIROS AGRONÔMOS DE MATO GROSSO DO SUL,Classificada,1,"R$ 67.702,50",48,2/20/2025,6/30/2025,00.007425/2024-25
São Paulo,SÃO PAULO,51207413000182,ABAS,ASSOCIAÇÃO BRASILEIRA DE ÁGUAS SUBTERRÂNEAS,Classificada,1,"R$ 100.000,00",49,2/20/2025,6/29/2025,00.007486/2024-92
Minas Gerais,UBERABA,18515395000120,IEATM,INSTITUTO DE ENGENHARIA E ARQUITETURA DO TRIÂNGULO MINEIRO,Classificada,1,"R$ 100.000,00",50,2/3/2025,6/30/2025,00.007411/2024-10
São Paulo,BAURU,45032406000194,ASSENAG,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE BAURU",Classificada,2,"R$ 48.900,00",1,3/24/2025,3/26/2025,00.007546/2024-77
Santa Catarina,FLORIANÓPOLIS,83932483000190,ACE,ASSOCIAÇÃO CATARINENSE DE ENGENHEIROS,Classificada,2,"R$ 43.000,00",2,2/17/2025,6/30/2025,00.007473/2024-13
São Paulo,SANTA BÁRBARA D'OESTE,55357099000175,AEASBO,ASSOCIAÇÃO DE ENGENHEIROS E ARQUITETOS DE SANTA BÁRBARA D' OESTE,Classificada,2,"R$ 50.000,00",3,3/31/2025,4/2/2025,00.007499/2024-61
Santa Catarina,CRICIÚMA,10207344000120,ACEAMB,ASSOCIAÇÃO CATARINENSE DE ENGENHARIA  AMBIENTAL,Classificada,2,"R$ 49.160,00",4,2/1/2025,6/30/2025,00.007471/2024-24
Rio Grande do Sul,PORTO ALEGRE,88190681000149,IGEL,INSTITUTO GAÚCHO ENGENHARIA LEGAL E AVALIAÇÕES,Classificada,2,"R$ 48.000,00",5,5/12/2025,5/14/2025,00.007461/2024-99
Paraná,CURITIBA,09255901000107,APEAM,ASSOCIAÇÃO PARANAENSE DOS ENGENHEIROS AMBIENTAIS,Classificada,2,"R$ 49.160,00",6,2/10/2025,7/30/2025,00.007432/2024-27
Rio Grande do Norte,NATAL,37220488000172,APEA,ASSOCIAÇÃO DOS PROFISSIONAIS DE ENGENHARIA AMBIENTAL DO RIO GRANDE DO NORTE,Classificada,2,"R$ 50.000,00",7,3/1/2025,5/30/2025,00.007450/2024-17
São Paulo,BARRETOS,50508134000196,ABEAA,"ASSOCIAÇÃO BARRETENSE DE ENGENHARIA, ARQUITETURA E AGRONOMIA",Classificada,2,"R$ 50.000,00",8,2/10/2025,6/30/2025,00.007485/2024-48
